eventid,iyear,imonth,iday,extended,provstate,city,latitude,longitude,location,summary,multiple,success,suicide,attacktype1_txt,targtype1_txt,targsubtype1_txt,corp1,target1,new_target,natlty1_txt,gname,,motive,claimmode_txt,weaptype1_txt,weapsubtype1_txt,,weapdetail,nkill,nwound,nkillter,nwoundte,property,propextent,propextent_txt,propvalue,propcomment
2.02E+11,2016,11,26,0,Banaadir,Mogadishu,2.059818,45.326114,The incident occurred in the Afesyoni area of Waberi neighborhood.,"11/26/2016: An explosives-laden vehicle detonated targeting President Hassan Sheikh Adan's convoy near a market in Afesyoni area, Mogadishu, Banaadir, Somalia. Adan was not harmed; however, at least 30 people were killed and 43 people were injured in the blast. Al-Shabaab claimed responsibility for the incident.",0,0,0,Assassination,Government (General),Head of State,Government of Somalia,Convoy of President: Hassan Sheikh Adan,Acting President: Sharif Hassan Sheikh Adan,Somalia,Al-Shabaab,,,Personal claim,Explosives,Suicide Vehicle,Suicide Vehicle,A remote-controlled explosives-laden vehicle was used in the attack.,30,43,0,0,1,4,Unknown,-99,A market and nearby buildings were damaged in this attack.
2.01E+11,2008,10,17,0,Banaadir,Mogadishu,2.059819,45.326115,The incidents occurred at the International Airport in Mogadishu.,"10/17/2008: On Friday afternoon at about 1500, in Mogadishu, Banaadir, Somalia, assailants fired mortars at Adan Adde International Airport as two planes landed but missed, causing no casualties or damages. No group claimed responsibility.",0,1,0,Bombing/Explosion,Airports & Aircraft,Airport,Adan Adde International Airport,Two airplanes at Adan Adde International Airport,Adan Adde International Airport,Somalia,Unknown,,The specific motive for the attack is unknown.,,Explosives,"Projectile (rockets, mortars, RPGs, etc.)","Projectile (rockets, mortars, RPGs, etc.)",Mortars,0,0,0,0,0,,,,
2.01E+11,2014,7,15,0,Banaadir,Mogadishu,2.059818,45.326114,The incident occurred in the Wadajir neighborhood of the city.,"07/15/2014: An explosives-laden vehicle, intended to target the Adan Adde International Airport in a suicide attack, was discovered and safely defused in Wadajir neighborhood, Mogadishu city, Banaadir region, Somalia. No group claimed responsibility for the incident.",0,0,1,Bombing/Explosion,Airports & Aircraft,Airport,Adan Adde International Airport,Airport,Adan Adde International Airport,Somalia,Unknown,,,,Explosives,Suicide Vehicle,Suicide Vehicle,An explosives laden vehicle was used in the attack.,0,0,0,0,0,,,,
2.01E+11,2007,1,24,0,Banaadir,Mogadishu,2.059819,45.326115,"The incident occurred at Mogadishu International Airport,.",01/24/2007: At least two people were killed in Somalia as Islamic militant gunmen launched powerful mortar attacks aimed at Mogadishu International Airport. No group claimed responsibility for the attack.,0,1,0,Bombing/Explosion,Airports & Aircraft,Airport,Airports,Mogadishu International Airport,Aden Adde International Airport,Somalia,Unknown,,To attack Somalian infrastructure.,,Explosives,"Projectile (rockets, mortars, RPGs, etc.)","Projectile (rockets, mortars, RPGs, etc.)",,2,0,0,0,-9,,,,
2.01E+11,2007,2,10,0,Banaadir,Mogadishu,2.059819,45.326115,The incident occurred near the Mogadishu airport.,"2/10/2007: Several missiles were fired near the Mogadishu, Somalia airport by militants that killed a boy and injures several other civilians. The perpetrator of this incident was unknown. No claim of responsibility was reported.",0,1,0,Bombing/Explosion,Airports & Aircraft,Airport,Mogadishu International Airport,People waiting for a flight,Aden Adde International Airport,Somalia,Unknown,,Unknown,,Explosives,"Projectile (rockets, mortars, RPGs, etc.)","Projectile (rockets, mortars, RPGs, etc.)",,1,3,0,0,0,,,,
2.01E+11,2008,1,27,0,Banaadir,Mogadishu,2.059819,45.326115,,"01/27/2008: Unknown suspected militants attacked an airport in Mogadishu, Somalia with artillery killing three civilians and wounding an unknown amount.",0,1,0,Bombing/Explosion,Airports & Aircraft,Airport,Mogadishu airport,Unknown,Aden Adde International Airport,Somalia,Unknown,,Unknown,,Explosives,"Projectile (rockets, mortars, RPGs, etc.)","Projectile (rockets, mortars, RPGs, etc.)",,3,,0,,-9,,,,
2.01E+11,2008,4,9,0,Banaadir,Mogadishu,2.059819,45.326115,The incident occurred at Mogadishu International Airport.,"4/9/2008: On Wednesday, the military wing of Somalia's Islamic group, the Al Shabaab Fighters, fired 11 missiles at the Mogadishu International airport, Aden-Adde, leaving an unknown number of people dead and injured.",0,1,0,Bombing/Explosion,Airports & Aircraft,Airport,Mogadishu International Airport,The Aden-Adde airport in Mogadishu,Aden Adde International Airport,Somalia,Al-Shabaab,,The specific motive for the attack is unknown or was not reported.,,Explosives,"Projectile (rockets, mortars, RPGs, etc.)","Projectile (rockets, mortars, RPGs, etc.)",Eleven missiles were fired at the Mogadishu International airport.,,,0,0,-9,,,,It is unknown if an airport was damaged in this attack.
2.01E+11,2008,7,4,0,Banaadir,Mogadishu,2.059819,45.326115,The incident occurred in Waabari district in Mogadishu.,"07/04/2008: On Friday, in Mogadishu, Banaadir, Somalia, assailants fired mortars at Adan Adde International Airport but missed, instead impacting on a residential neighborhood, wounding one civilian, one child, and damaging several residences. No motive for the attack was reported and no group claimed responsibility.",0,1,0,Bombing/Explosion,Airports & Aircraft,Airport,,The Adan Adde International Airport,Aden Adde International Airport,Somalia,Unknown,,The specific motive for the attack is unknown.,,Explosives,"Projectile (rockets, mortars, RPGs, etc.)","Projectile (rockets, mortars, RPGs, etc.)",Mortars,0,2,0,0,1,3,Minor (likely < $1 million),,Several houses were damaged in this attack.
2.01E+11,2009,10,28,0,Banaadir,Mogadishu,2.059819,45.326115,At the Mogadishu International Airport.,"10/28/2009: On Wednesday morning, in Mogadishu, Banaadir, Somalia, armed assailants fired mortars at the Mogadishu International Airport as the President of Somalia's flight arrived, the African Union Mission in Somalia (AMISOM) headquarters, and the Transitional Federal Government of Somalia (TFG) in Hodan district, prompting retaliatory fire. In the ensuing crossfire, mortars and bullets hit populated locations, killing at least seven people and wounding 16 people and destroying one AMISOM tank. The motive for the attack was to overthrow the fragile Somali government; Al-Shabaab al-Islamiya claimed responsibility for the attack.",0,1,0,Bombing/Explosion,Airports & Aircraft,Airport,Mogadishu International Airport,An airport,Aden Adde International Airport,Somalia,Al-Shabaab,,The specific motive for the attack was to overthrow the fragile Somali government.,Unknown,Explosives,"Projectile (rockets, mortars, RPGs, etc.)","Projectile (rockets, mortars, RPGs, etc.)",Mortars,7,16,0,0,-9,4,Unknown,,It is unknown if the attack caused any property damage.
2.01E+11,2010,9,16,0,Banaadir,Mogadishu,2.059819,45.326115,The incident occurred at the Mogadishu International Airport.,"09/16/2010: On Thursday, in one of three related attacks in Mogadishu, Banaadir, Somalia, unidentified armed assailants fired mortars and firearms at the airport, killing and injuring an unspecified number of people. The attack caused an unknown amount of damage and no group claimed responsibility, although it was widely believed Al Shabaab was responsible.",1,1,0,Armed Assault,Airports & Aircraft,Airport,,An airport,Aden Adde International Airport,Somalia,Al-Shabaab,,The specific motive for the attack is unknown.,,Firearms,Unknown Gun Type,Unknown Gun Type,Unknown firearms and an unknown number of mortar shells were used in the attack.,0,0,0,0,1,4,Unknown,,The attack caused an unknown amount of property damage.
2.01E+11,2010,9,9,0,Banaadir,Mogadishu,2.059819,45.326115,The incident occurred at the Mogadishu International Airport.,"09/09/2010: On Thursday afternoon around 1415, in Mogadishu, Banaadir, Somalia, unidentified militants drove a vehicle-borne improvised explosive device to the entrance of the Mogadishu International Airport where they then detonated it, killing two African Union Mission in Somalia troops, two civilians and injuring three civilians. Two unidentified armed militants dressed in Somali government soldier uniforms that were following the first vehicle then ran from there vehicle toward a terminal firing weapons and then detonated suicide improvised explosive device belts, killing an employee of African Airlines and wounding and unknown number of civilians. The attack caused an unknown amount of damage. Al Shabaab claimed responsibility.",0,1,1,Bombing/Explosion,Airports & Aircraft,Airport,Mogadishu Airport,An airport was targeted in the attack.,Aden Adde International Airport,Somalia,Al-Shabaab,,The specific motive for the attack is unknown.,Unknown,Explosives,Suicide Vehicle,Suicide Vehicle,"A vehicle borne improvised explosive device, two suicide belt improvised explosive devices, and unknown firearms were used in the attack.",2,0,2,0,1,4,Unknown,,The attack caused an unknown amount of property damage.
2.01E+11,2011,3,19,0,Banaadir,Mogadishu,2.059819,45.326115,The incident occurred at the Mogadishu International Airport.,"03/19/2011: On Saturday, in Mogadishu, Banaadir, Somalia, unidentified militants targeted and attacked the Aden Adde Mogadishu International airport with mortars. No casualties or damages were reported and no group has claimed responsibility, but the militant group Al Shabaab was thought responsible for the attack.",0,1,0,Bombing/Explosion,Airports & Aircraft,Airport,Aden Adde International Airport,An airport was targeted in the attack.,Aden Adde International Airport,Somalia,Al-Shabaab,,The specific motive for the attack is unknown.,,Explosives,"Projectile (rockets, mortars, RPGs, etc.)","Projectile (rockets, mortars, RPGs, etc.)",Mortars,0,0,0,0,1,3,Minor (likely < $1 million),,The attack caused an unknown amount of property damage to the airport.
2.01E+11,2013,9,4,0,Banaadir,Mogadishu,2.059818,45.326114,,"09/04/2013: Two explosive devices detonated near Mogadishu airport in Mogadishu city, Banaadir region, Somalia. There were no reported casualties in the attack. This was one of six coordinated blasts in Mogadishu on this day. Al-Shabaab claimed responsibility for the incident.",1,1,0,Bombing/Explosion,Airports & Aircraft,Airport,Mogadishu Airport,Airport,Aden Adde International Airport,Somalia,Al-Shabaab,,,"Posted to website, blog, etc.",Explosives,Unknown Explosive Type,Unknown Explosive Type,Two roadside bombs were used in the attack.,0,0,0,0,-9,,,,It is unknown if any property was damaged in this attack.
